sn,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
151291.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
151300.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor
151321.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
151340.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
151350.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
151360.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
151370.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Poor,Poor,Poor,Poor,Poor,Poor,Poor,-,-
151371.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fair/Good,Fair/Good
151380.0,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,-,-,-,-,-,-,-
151381.0,-,-,-,-,-,-,-,-,-,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
151391.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
151401.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Poor
151411.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
151420.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor
151430.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Poor,Poor,Poor,Poor,Poor,Poor,Poor
151440.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor
151450.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good
151470.0,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Fair/Good,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor
151480.0,Poor,Poor,Poor,Poor,Poor,Poor,Poor,-,-,-,-,-,-,-,-,-
