rank,sn,carries,crosses,county,owner,maint,year_built,year_recon,adt,adt_year,truck_pct,min_rating,poor_since,streak,status,lat,lon
1,31720.0,IA 1 NB,IOWA RIVER,Johnson,City / Municipal,City / Municipal,1915,1986.0,10950,2022,4,4.0,2010,16,Open,41.657944444444446,-91.54164722222222
2,35410.0,SO CENTER ST,RR AND MADISON ST,Marshall,City / Municipal,City / Municipal,1951,0.0,9491,2022,0,3.0,2010,16,Posted (load limit),42.040641666666666,-92.91282500000001
3,10530.0,6TH ST,FLOYD RIVER,Woodbury,City / Municipal,City / Municipal,1962,1978.0,8957,2021,0,4.0,2010,16,Open,42.496475000000004,-96.38914444444445
4,11800.0,E RIDGEWAY AVE,DRY RUN CREEK,Black Hawk,City / Municipal,City / Municipal,1950,0.0,8392,2022,0,4.0,2010,16,Posted (load limit),42.46938333333333,-92.34322499999999
5,503935.0,9TH AVE,INDIAN CREEK,Pottawattamie,City / Municipal,City / Municipal,1930,0.0,4059,2022,0,3.0,2010,16,Posted (load limit),41.25344444444445,-95.86481388888889
6,3700.0,WALNUT ST,DES MOINES RIVER,Polk,City / Municipal,City / Municipal,1911,1966.0,3844,2022,0,3.0,2010,16,Open,41.58723888888889,-93.61827777777778
7,36750.0,IA 141 & 175,MAPLE RIVER,Monona,Iowa DOT (State),Iowa DOT (State),1967,0.0,3720,2023,11,4.0,2010,16,Open,42.17151944444444,-95.79669166666666
8,10540.0,11TH ST,FLOYD RIVER,Woodbury,City / Municipal,City / Municipal,1962,0.0,3523,2021,0,3.0,2010,16,Open,42.50193055555555,-96.38534722222222
9,2640.0,5TH AVE,INDIAN CREEK,Pottawattamie,City / Municipal,City / Municipal,1935,0.0,3013,2022,0,4.0,2010,16,Open,41.25709166666667,-95.86481666666666
10,8950.0,W CHARLES ST,DRY RUN CREEK,Fayette,City / Municipal,City / Municipal,1905,0.0,2673,2021,0,3.0,2010,16,Open,42.678441666666664,-91.91493611111112
11,22080.0,FM,SUGAR CREEK,Dallas,City / Municipal,County,1933,1954.0,2628,2022,21,4.0,2010,16,Open,41.534416666666665,-93.82316944444445
12,239810.0,FM,BNSF RR AND STREAM,Marion,County,County,1964,0.0,2620,2022,10,4.0,2010,16,CLOSED to traffic,41.32692777777778,-93.02498333333334
13,6460.0,JOHNSON ST,RALSTON CREEK,Johnson,City / Municipal,City / Municipal,1930,0.0,2356,2022,0,4.0,2010,16,Open,41.660713888888885,-91.5272138888889
14,10475.0,LARSEN PARK RD,PERRY CREEK,Woodbury,City / Municipal,City / Municipal,1963,0.0,2330,2022,2,4.0,2010,16,Open,42.48986388888889,-96.41093611111111
15,145095.0,FM,CREEK,Dickinson,County,County,1941,0.0,2060,2022,0,3.0,2010,16,Open,43.41762222222222,-95.07105277777778
16,5240.0,RICHARDS DR,DRY CREEK,Lee,City / Municipal,City / Municipal,1951,0.0,2012,2022,0,3.0,2010,16,Posted (load limit),40.63129722222222,-91.34537222222222
17,335290.0,FM,NORTH RIVER,Warren,County,County,1960,0.0,1714,2022,5,3.0,2010,16,Posted (load limit),41.45741944444445,-93.65501388888889
18,504670.0,CORRECTIONVILLE,BACON CREEK,Woodbury,City / Municipal,City / Municipal,1900,0.0,1664,2022,7,4.0,2010,16,Open,42.490808333333334,-96.34213888888888
19,103050.0,FM,ROCK CREEK,Cedar,County,County,1967,0.0,1660,2021,10,4.0,2010,16,Open,41.73636666666667,-91.20692777777778
20,6710.0,S GRIMMELL RD,RACCOON RIVER,Greene,County,County,1947,0.0,1572,2022,2,3.0,2010,16,Posted (load limit),42.003075,-94.39004166666668
21,247160.0,FA-BARRUS RD,PONY CREEK,Mills,County,County,1969,0.0,1524,2022,6,4.0,2010,16,Open,41.13068333333334,-95.75829166666666
22,101160.0,FM - OLIVE,NISHNABOTNA RIVER,Cass,County,County,1961,0.0,1524,2022,13,4.0,2010,16,Open,41.43150555555555,-95.00341388888889
23,234580.0,FM,BADGER CREEK,Madison,County,County,1956,0.0,1404,2022,0,4.0,2010,16,Posted (load limit),41.47361111111111,-93.83807777777777
24,83090.0,FM,WAPSIPINICON RIVER,Buchanan,County,County,1962,0.0,1390,2021,17,4.0,2010,16,Open,42.540194444444445,-92.06259444444444
25,72430.0,FM,CEDAR RIVER,Benton,County,County,1969,0.0,1267,2022,15,4.0,2010,16,Open,42.18529722222222,-91.87240555555555
26,2855.0,MAIN ST,OVER UP RR,Marion,City / Municipal,City / Municipal,1940,0.0,1210,2022,0,3.0,2010,16,Posted (load limit),41.23316666666667,-93.24354444444444
27,11525.0,OLD US 71,BNSF RR,Montgomery,City / Municipal,City / Municipal,1929,0.0,1187,2021,0,0.0,2010,16,CLOSED to traffic,40.92710833333333,-94.9854888888889
28,246070.0,FA-GASTON AVE,KEG CREEK,Mills,County,County,1967,0.0,1065,2022,5,4.0,2010,16,Open,41.07324444444445,-95.71501111111111
29,80.0,15TH ST,BUTLER CREEK,Dallas,City / Municipal,City / Municipal,1907,1938.0,1027,2022,0,4.0,2010,16,Posted (load limit),41.625191666666666,-94.0275361111111
30,36610.0,LANCER AVE,SMALL NATURAL STREAM,Mitchell,County,County,1925,1958.0,1011,2022,15,4.0,2010,16,Open,43.381861111111114,-92.81044722222222
31,26020.0,F 65,MIDDLE RIVER,Guthrie,County,County,1959,1984.0,996,2022,15,3.0,2010,16,Open,41.510872222222226,-94.49928611111112
32,258340.0,FM,CEDAR RIVER,Muscatine,County,County,1966,0.0,990,2022,11,4.0,2010,16,Open,41.51962777777778,-91.15142222222222
33,72570.0,FM,SMALL STREAM,Benton,County,County,1925,1958.0,940,2021,14,4.0,2010,16,Open,42.20550277777778,-92.06151666666666
34,6790.0,B AVE,SMALL STREAM,Washington,City / Municipal,City / Municipal,1936,0.0,938,2022,0,4.0,2010,16,Open,41.48318611111111,-91.70985555555556
35,52510.0,FM,BLUE EARTH RIVER,Winnebago,County,County,1924,1951.0,938,2022,26,3.0,2010,16,Open,43.404063888888885,-93.9320888888889
36,51870.0,9TH AVENUE,SMITH CREEK,Washington,City / Municipal,City / Municipal,1928,1964.0,920,2022,12,3.0,2010,16,Posted (load limit),41.462,-91.83896388888888
37,242830.0,FM,N TIMBER CREEK,Marshall,County,County,1963,0.0,903,2022,15,4.0,2010,16,Open,41.98233333333334,-93.09804166666666
38,330260.0,FM,DES MOINES RIVER,Wapello,County,County,1957,2015.0,880,2022,10,4.0,2010,16,Posted (load limit),40.919263888888885,-92.23196666666666
39,239470.0,FM,LONG BRANCH CREEK,Marion,County,County,1967,0.0,880,2022,10,4.0,2010,16,Open,41.184688888888886,-93.251625
40,8370.0,X-28 & MIDDLE R,MISSISSIPPI SLOUGH,Lee,City / Municipal,City / Municipal,1957,0.0,832,2022,0,3.0,2010,16,Posted (load limit),40.529891666666664,-91.41048611111111
41,70520.0,FM,PRAIRIE CREEK,Benton,County,County,1960,0.0,820,2021,15,4.0,2010,16,Open,41.906077777777774,-92.13864166666667
42,150.0,FM,FLOYD RIVER,Sioux,City / Municipal,City / Municipal,1954,0.0,813,2022,0,4.0,2010,16,Posted (restriction),42.982844444444446,-96.00059444444445
43,1990.0,UNION ST,RAILROAD CREEK,Cherokee,City / Municipal,City / Municipal,1900,0.0,803,2021,0,3.0,2010,16,Posted (load limit),42.750702777777775,-95.54931388888889
44,9640.0,2ND STREET,DREYS DITCH,Adams,City / Municipal,City / Municipal,1920,0.0,787,2022,0,3.0,2010,16,Posted (load limit),41.023427777777776,-94.61025833333333
45,316600.0,FM,IOWA RIVER OVERFLOW,Tama,County,County,1968,0.0,786,2022,12,3.0,2010,16,Posted (restriction),41.901094444444446,-92.3942138888889
46,500820.0,IOWA AVE,RALSTON CREEK,Johnson,City / Municipal,City / Municipal,1910,1960.0,754,2022,0,4.0,2010,16,Open,41.660938888888886,-91.52428333333333
47,25560.0,FM J018,WALNUT CREEK,Fremont,County,County,1951,0.0,750,2021,9,4.0,2010,16,Open,40.87260833333333,-95.394175
48,255900.0,FM,WALNUT CREEK,Montgomery,County,County,1967,0.0,750,2021,0,4.0,2010,16,Open,41.01625833333333,-95.30918055555556
49,900.0,SO MAIN ST,CASCADE LANDING,Des Moines,City / Municipal,City / Municipal,1896,1960.0,743,2022,0,2.0,2010,16,CLOSED to traffic,40.78111388888889,-91.09860833333333
50,46520.0,HWY 66,W.FK GRAND RIVER,Ringgold,County,County,1935,0.0,737,2022,10,3.0,2010,16,Posted (load limit),40.79826666666666,-94.33832222222222
51,227950.0,FM,OVERFLOW,Lyon,County,County,1969,0.0,718,2022,12,4.0,2010,16,Open,43.34567222222223,-95.95146666666668
52,15400.0,FM,BLUFF CREEK,Boone,County,County,1957,0.0,718,2022,13,3.0,2010,16,Open,42.16642777777778,-94.02018611111112
53,240510.0,FM,COMPETINE CREEK,Marion,County,County,1967,0.0,710,2022,14,4.0,2010,16,Open,41.33546388888889,-93.06248611111111
54,1980.0,EUCLID AVE,RAILROAD CREEK,Cherokee,City / Municipal,City / Municipal,1900,0.0,699,2021,0,3.0,2010,16,Posted (load limit),42.750025,-95.54728333333333
55,246990.0,FA-BARRUS RD,KEG CREEK,Mills,County,County,1951,1970.0,698,2022,11,4.0,2010,16,Open,41.13857222222222,-95.70483611111112
56,347461.0,FM,SMALL CREEK,Winneshiek,County,County,1986,0.0,697,2022,6,3.0,2010,16,Open,43.28473333333333,-91.65213611111112
57,347451.0,FM,TROUT RIVER,Winneshiek,County,County,1958,0.0,697,2022,6,4.0,2010,16,Open,43.284416666666665,-91.64830555555557
58,504485.0,1ST  STREET,INDIAN CREEK,Pottawattamie,City / Municipal,City / Municipal,1936,0.0,684,2022,0,3.0,2010,16,Open,41.264266666666664,-95.84472222222222
59,266350.0,M-70/REDWOOD,NEELY BRANCH,Page,County,County,1962,0.0,678,2022,15,3.0,2010,16,Open,40.77990833333333,-95.03310833333333
60,52770.0,MAIN ST,SMALL NATURAL STREAM,Winneshiek,City / Municipal,County,1940,0.0,649,2022,21,4.0,2010,16,Open,43.084361111111114,-92.03267777777778
61,503755.0,FM E-66,OSCAR CREEK,Linn,City / Municipal,City / Municipal,1917,1926.0,640,2021,0,3.0,2010,16,Posted (load limit),41.92745277777777,-91.78335277777778
62,355116.0,FM,MUDDY CREEK,Woodbury,County,County,1967,0.0,628,2022,9,3.0,2010,16,Posted (restriction),42.547475,-96.17882222222222
63,272021.0,FM,STEPHENS CREEK,Plymouth,County,County,1960,1980.0,628,2022,12,4.0,2010,16,Open,42.611897222222225,-96.49484166666667
64,18490.0,F44 290TH ST,CEDAR RIVER,Cedar,County,County,1948,1985.0,620,2022,0,3.0,2010,16,Posted (load limit),41.66903611111111,-91.15893611111112
65,234350.0,FM,DRAINAGE,Madison,County,County,1949,0.0,597,2022,16,3.0,2010,16,Posted (load limit),41.39845833333333,-94.18444722222223
66,93890.0,EAST ST,WILLOW CREEK,Carroll,City / Municipal,City / Municipal,1964,0.0,580,2016,0,3.0,2010,16,Open,41.906080555555555,-95.05412222222222
67,319170.0,FM,BRANCH IOWA RIVER,Tama,County,County,1969,0.0,579,2022,8,4.0,2010,16,Posted (restriction),42.11425555555556,-92.70819722222222
68,352394.0,FM,WEST FORK LITTLE SIOUX,Woodbury,County,County,1955,0.0,549,2022,23,3.0,2010,16,Open,42.353,-96.07823611111111
69,352325.0,FM,WEST FORK LITTLE SIOUX,Woodbury,County,County,1955,0.0,549,2022,23,3.0,2010,16,Open,42.37495277777778,-96.07759444444444
70,109750.0,FM J AVE,BEAR CREEK,Cherokee,County,County,1940,0.0,538,2022,25,0.0,2010,16,CLOSED to traffic,42.87751111111111,-95.68178333333334
71,9440.0,WARFORD ST,FROG CREEK,Dallas,City / Municipal,City / Municipal,1915,0.0,536,2022,0,3.0,2010,16,Posted (load limit),41.83954166666667,-94.11140833333333
72,8530.0,8TH ST,W BR INDIAN CREEK,Story,City / Municipal,City / Municipal,1936,0.0,535,2022,0,3.0,2010,16,Posted (load limit),42.010983333333336,-93.44950555555556
73,354970.0,FM,WEST FORK LITTLE SIOUX,Woodbury,County,County,1960,0.0,509,2022,15,3.0,2010,16,Posted (load limit),42.54738888888889,-96.02934166666667
74,133850.0,FM,STREAM,Davis,County,County,1966,0.0,480,2022,17,3.0,2010,16,Open,40.68060277777778,-92.425275
75,234220.0,FM,HOWERDON CREEK,Madison,County,County,1954,2001.0,477,2022,9,3.0,2010,16,Posted (load limit),41.35209444444445,-94.12701666666666
76,232305.0,FM,CLANTON CREEK,Madison,County,County,1932,0.0,477,2022,21,4.0,2010,16,Open,41.214488888888894,-94.07615555555556
77,1900.0,E. MAPLE ST,RAILROAD CREEK,Cherokee,City / Municipal,City / Municipal,1900,0.0,472,2021,0,4.0,2010,16,Posted (load limit),42.748775,-95.54762222222222
78,7860.0,W STATE ST,DRAINAGE,Marshall,City / Municipal,City / Municipal,1900,0.0,472,2022,0,3.0,2010,16,Open,42.05030277777777,-92.93794722222222
79,309270.0,FM,INDIAN CREEK,Sioux,County,County,1965,0.0,469,2022,18,4.0,2010,16,Open,42.96738333333334,-96.34941388888889
80,98231.0,FM - 690TH,SEVENMILE CREEK,Cass,County,County,1971,0.0,468,2022,18,4.0,2010,16,Open,41.293594444444444,-94.87301388888888
81,174650.0,FM,CREEK,Hardin,County,County,1960,0.0,462,2022,23,4.0,2010,16,Open,42.23235277777778,-93.06498333333333
82,281790.0,NE 38TH ST,DRAINAGE DITCH,Polk,County,County,1914,0.0,459,2022,10,3.0,2010,16,Open,41.75743611111111,-93.54138055555555
83,232830.0,FM,OVERFLOW CLANTON CREEK,Madison,County,County,1932,0.0,450,2022,12,3.0,2010,16,Posted (load limit),41.31753611111112,-93.80863333333333
84,233730.0,FM,MIDDLE RIVER,Madison,County,County,1932,0.0,450,2022,12,3.0,2010,16,Posted (load limit),41.35217222222222,-93.80358333333334
85,73390.0,FM,SPRING CREEK,Benton,County,County,1959,0.0,430,2021,8,3.0,2010,16,Open,42.25391388888889,-92.14418333333334
86,352396.0,FM,WEST FORK LITTLE SIOUX,Woodbury,County,County,1955,0.0,429,2022,11,3.0,2010,16,Open,42.345730555555555,-96.08886388888888
87,71101.0,FM,BR LITTLE BEAR CREEK,Benton,County,County,1929,1958.0,422,2022,17,3.0,2010,16,Open,42.00668888888889,-91.97049722222222
88,133561.0,FM,SOUTH WYACONDAH DITCH,Davis,County,County,1974,0.0,420,2022,19,4.0,2010,16,Open,40.67160833333333,-92.37974166666666
89,11520.0,THIRD ST,MIDDLE NODAWAY,Montgomery,City / Municipal,City / Municipal,1939,1948.0,415,2022,13,3.0,2010,16,Posted (load limit),40.92958333333333,-94.96454166666668
90,332850.0,FM,STONY CREEK,Warren,County,County,1958,0.0,400,2022,11,4.0,2010,16,Posted (load limit),41.1714,-93.37392777777777
91,60500.0,FM-150TH STREET,EAST NODAWAY RIVER,Adams,County,County,1955,0.0,399,2022,11,3.0,2010,16,Posted (restriction),41.08592777777778,-94.54564722222221
92,204680.0,DINGLEBERRY RD,RAPID CR,Johnson,County,County,1960,0.0,398,2021,0,3.0,2010,16,Posted (load limit),41.71902222222222,-91.45593611111111
93,23460.0,LOCAL ROAD,BRUSH CREEK,Des Moines,County,County,1927,1957.0,393,2022,0,3.0,2010,16,Open,40.73366111111111,-91.17064722222223
94,1890.0,STATION ST,DRAINAGE,Tama,County,County,1925,0.0,383,2022,0,4.0,2010,16,Posted (load limit),41.92706944444444,-92.39453055555556
95,257510.0,LOCAL,LOWE RUN,Muscatine,County,County,1928,0.0,380,2022,4,3.0,2010,16,Open,41.43283333333333,-91.10286666666666
96,99730.0,FM - LANSING,WATERWAY,Cass,County,County,1900,0.0,379,2022,9,4.0,2010,16,Open,41.34578611111111,-94.97105833333333
97,353120.0,FM,CREEK,Woodbury,County,County,1962,0.0,379,2022,20,4.0,2010,16,Open,42.38681944444444,-95.74813333333333
98,1930.0,E. WILLOW ST,RAILROAD CREEK,Cherokee,City / Municipal,City / Municipal,1900,0.0,377,2021,0,4.0,2010,16,Posted (load limit),42.75043888888889,-95.54871666666666
99,501680.0,HAMMOND AVE,SINK CREEK,Black Hawk,City / Municipal,City / Municipal,1900,0.0,373,2022,7,2.0,2010,16,CLOSED to traffic,42.42621111111111,-92.33728333333333
100,174860.0,FM,CREEK,Hardin,County,County,1900,0.0,373,2022,21,3.0,2010,16,Open,42.24498611111111,-93.12500833333333
101,242560.0,FM,LINN CR,Marshall,County,County,1956,2001.0,369,2022,20,4.0,2010,16,Posted (restriction),42.02023611111111,-92.96064444444444
102,252640.0,FM,OVER UP RR,Monroe,County,County,1936,0.0,360,2022,15,3.0,2010,16,Posted (load limit),41.05933333333333,-92.75908333333334
103,5810.0,6TH ST NW,DRAINAGE,Franklin,City / Municipal,City / Municipal,1940,0.0,349,2022,0,4.0,2010,16,Open,42.745222222222225,-93.21474166666667
104,231790.0,FM,SOUTH RIVER,Madison,County,County,1936,0.0,349,2022,8,3.0,2010,16,Posted (load limit),41.17902222222222,-93.82625555555555
105,502520.0,N 2ND AVE,SMALL STREAM,Lyon,City / Municipal,City / Municipal,1900,0.0,346,2022,0,3.0,2010,16,CLOSED to traffic,43.43309722222222,-96.16626944444445
106,6530.0,THIRD AVE,SO BR RALSTON CREEK,Johnson,City / Municipal,City / Municipal,1957,0.0,341,2022,0,3.0,2010,16,Open,41.65166111111111,-91.50488055555556
107,820.0,ORCHARD ST,LITTLE BEAR CREEK,Poweshiek,City / Municipal,City / Municipal,1912,0.0,340,2022,0,3.0,2010,16,Posted (load limit),41.72562222222222,-92.45028055555557
108,103370.0,FM,YANKEE RUN,Cedar,County,County,1940,0.0,330,2021,3,3.0,2010,16,Open,41.85387222222222,-90.90081388888889
109,73140.0,FM,CEDAR RIVER,Benton,County,County,1968,0.0,324,2022,19,3.0,2010,16,Open,42.29275833333333,-92.06051944444444
110,172110.0,FM,DRAINAGE DITCH,Hamilton,County,County,1960,0.0,319,2022,21,4.0,2010,16,Open,42.52981666666667,-93.54814444444445
111,323870.0,FM,WEST BRANCH 102 RIVER,Taylor,County,County,1936,0.0,309,2021,19,3.0,2010,16,Posted (load limit),40.8566,-94.74095833333334
112,12630.0,MAIN ST,EAST BOYER RIVER,Crawford,City / Municipal,City / Municipal,1913,0.0,303,2021,17,3.0,2010,16,Posted (load limit),42.07796666666667,-95.09822777777778
113,162070.0,222ND ST,WEST BEAVER CREEK,Greene,County,County,1921,0.0,300,2022,5,4.0,2010,16,Open,42.03317777777778,-94.21088888888889
114,220750.0,ROSEDALE RD,INDIAN CR,Linn,County,County,1890,0.0,299,2021,0,3.0,2010,16,Posted (load limit),41.98761666666667,-91.57866666666666
115,157690.0,FM NETTLE AVE,BEEDS CREEK,Franklin,County,County,1965,0.0,295,2022,9,4.0,2010,16,Open,42.750461111111115,-93.24159722222223
116,46480.0,OLD IA HWY 25,SMALL STREAM,Ringgold,County,County,1934,0.0,289,2022,14,3.0,2010,16,Posted (restriction),40.656441666666666,-94.47140833333333
117,89500.0,T47,SHELL ROCK RIVER,Butler,County,County,1963,1982.0,285,2022,15,4.0,2010,16,Posted (load limit),42.83994444444445,-92.73207500000001
118,164370.0,FM,BLACKHAWK CREEK  BRANCH,Grundy,County,County,1965,0.0,275,2022,23,3.0,2010,16,Open,42.34567777777778,-92.78769722222222
119,78920.0,FM 260TH ST,QUARTER SEC RUN,Bremer,County,County,1939,0.0,275,2022,0,4.0,2010,16,Posted (load limit),42.673255555555556,-92.41045000000001
120,11340.0,FM,DEER CREEK,Tama,County,County,1954,1996.0,275,2022,9,3.0,2010,16,Posted (restriction),42.000080555555556,-92.58910555555555
121,354551.0,FM,STREAM,Woodbury,County,County,1981,0.0,270,2023,0,4.0,2010,16,Posted (restriction),42.54087222222222,-95.85968888888888
122,133940.0,FM,CARTERS CREEK,Davis,County,County,1967,0.0,260,2021,19,4.0,2010,16,Open,40.63999722222222,-92.42978333333333
123,10020.0,14TH ST,CREAMERY CREEK,Sioux,City / Municipal,City / Municipal,1961,0.0,257,2022,0,4.0,2010,16,Open,43.204211111111114,-96.28275277777777
124,175900.0,FM,CREEK,Hardin,County,County,1942,0.0,255,2022,19,4.0,2010,16,Open,42.3382,-93.42472500000001
125,157630.0,FM LAKE DRIVE,OVER CNW RR,Franklin,County,County,1936,0.0,255,2022,9,3.0,2010,16,Posted (load limit),42.76300277777778,-93.23205277777778
126,330380.0,FM,VILLAGE CREEK,Wapello,County,Owner code 12,1968,0.0,250,2022,0,4.0,2010,16,Open,40.966725000000004,-92.37124444444444
127,218910.0,FM,DEVIL CREEK,Lee,County,County,1948,0.0,250,2022,0,4.0,2010,16,Posted (load limit),40.66372222222222,-91.40804166666668
128,503775.0,CO. RD. D-35,BEAVER CREEK,Hardin,County,County,1960,0.0,250,2022,12,3.0,2010,16,Posted (load limit),42.433677777777774,-93.19815833333334
129,280940.0,FM SW MCKINLEY,FRINK CREEK,Polk,City / Municipal,City / Municipal,1937,0.0,246,2023,4,0.0,2010,16,CLOSED to traffic,41.54103611111111,-93.67809444444445
130,159470.0,BLUFF ROAD,COOPER CREEK,Fremont,County,County,1959,0.0,244,2021,14,3.0,2010,16,Open,40.726905555555554,-95.70121111111112
131,8230.0,6TH ST,DRAINAGE,Clayton,City / Municipal,City / Municipal,1920,0.0,242,2022,0,1.0,2010,16,CLOSED to traffic,43.019866666666665,-91.1815388888889
132,503950.0,7TH AVE,INDIAN CREEK,Pottawattamie,City / Municipal,City / Municipal,1930,0.0,235,2022,0,4.0,2010,16,Open,41.255266666666664,-95.86480277777777
133,160.0,GARFIELD ST,DRAINAGE,Sioux,City / Municipal,City / Municipal,1900,0.0,232,2022,0,3.0,2010,16,Open,42.992325,-96.0085111111111
134,7400.0,5TH ST,DRAINAGE,Cedar,City / Municipal,City / Municipal,1940,0.0,232,2022,0,0.0,2010,16,CLOSED to traffic,41.85901944444445,-90.9305638888889
135,8350.0,JACOB ST,DRAINAGE,Tama,County,County,1900,1984.0,232,2022,0,0.0,2010,16,CLOSED to traffic,41.98205,-92.71608888888889
136,11040.0,5TH AVE,LITTLE BIG CREEK,Linn,City / Municipal,City / Municipal,1915,0.0,232,2021,0,4.0,2010,16,Posted (load limit),42.06141944444444,-91.44081944444444
137,101710.0,FM,CROOKED CREEK,Cedar,County,County,1923,0.0,230,2021,0,4.0,2010,16,Open,41.670005555555555,-91.10000277777777
138,247430.0,320TH,LITTLE CEDAR RIVER,Mitchell,County,County,1931,0.0,226,2022,0,4.0,2010,16,Posted (load limit),43.22678888888889,-92.6776138888889
139,317480.0,FM,TROUBLESOME CREEK,Tama,County,County,1964,0.0,226,2022,26,3.0,2010,16,Open,42.00694444444444,-92.32659722222222
140,8476.0,4TH STREET,WALNUT CREEK,Appanoose,City / Municipal,City / Municipal,1971,0.0,226,2022,0,3.0,2010,16,Posted (load limit),40.776125,-92.94743333333334
141,8970.0,2ND ST NE,DRY RUN CREEK,Fayette,City / Municipal,City / Municipal,1900,0.0,224,2021,0,3.0,2010,16,Posted (load limit),42.681330555555554,-91.90914444444445
142,353110.0,FM,CREEK,Woodbury,County,County,1962,0.0,219,2022,30,4.0,2010,16,Open,42.38538611111111,-95.75621111111111
143,254570.0,FM,TARKIO CREEK TRIB,Montgomery,County,County,1959,0.0,219,2022,0,3.0,2010,16,Open,40.915438888888886,-95.104475
144,234230.0,LOCAL RD,DRAINAGE,Madison,County,County,1930,0.0,219,2022,0,4.0,2010,16,Open,41.34471944444444,-94.08327777777778
145,295580.0,FM,W FORK GRAND RIVER,Ringgold,County,County,1956,0.0,219,2022,21,3.0,2010,16,Posted (load limit),40.61054722222222,-94.41095555555556
146,318400.0,IRR-LOCAL,IOWA RIVER,Tama,County,County,1938,0.0,216,2022,0,0.0,2010,16,CLOSED to traffic,41.98638888888889,-92.70078611111111
147,248091.0,390TH,ROCK CREEK,Mitchell,County,County,1973,0.0,216,2022,19,3.0,2010,16,Open,43.328247222222224,-93.005575
148,318390.0,IRR-LOCAL,IOWA RIVER OVERFLOW,Tama,County,County,1953,0.0,216,2022,0,0.0,2010,16,CLOSED to traffic,41.98993888888889,-92.69873055555556
149,318375.0,IRR LOCAL,IOWA RIVER OVERFLOW,Tama,County,County,1947,0.0,216,2022,0,0.0,2010,16,CLOSED to traffic,41.99404444444445,-92.69852777777778
150,249201.0,480TH,SMALL STREAM,Mitchell,County,County,1984,0.0,216,2022,8,3.0,2010,16,Open,43.458200000000005,-92.94281666666667
151,164260.0,NICKEL AVE,MUNNS CREEK,Grundy,County,County,1955,0.0,216,2022,0,3.0,2010,16,Open,42.320686111111115,-92.75827222222222
152,159600.0,220 STREET,HORSE CREEK,Fremont,County,County,1957,0.0,214,2021,11,3.0,2010,16,Open,40.72900555555556,-95.74076666666667
153,49900.0,J35,DRAINAGE DITCH,Taylor,County,County,1938,0.0,210,2021,14,3.0,2010,16,Posted (load limit),40.75641666666667,-94.6562388888889
154,347581.0,LOCAL,UPPER IOWA RIVER,Winneshiek,County,County,1985,0.0,207,2022,0,3.0,2010,16,Open,43.314077777777776,-91.74319166666666
155,257060.0,FM,CREEK,Muscatine,County,County,1970,0.0,200,2022,11,4.0,2010,16,Open,41.37925555555556,-91.24723888888889
156,63240.0,FM,CLEAR CREEK,Allamakee,County,County,1962,0.0,200,2021,20,4.0,2010,16,Open,43.43884444444444,-91.41158611111112
157,72070.0,FM,MUD CREEK,Benton,County,County,1955,0.0,200,2021,17,3.0,2010,16,Open,42.07963055555556,-92.12938888888888
158,353155.0,FM,ROCK CREEK,Woodbury,County,County,1900,0.0,199,2022,10,3.0,2010,16,Open,42.47504166666667,-95.89551111111112
159,79060.0,240TH ST,CREEK,Bremer,County,County,1929,0.0,196,2022,0,4.0,2010,16,Posted (load limit),42.70051111111111,-92.52570833333333
160,320190.0,FM,WOLF CREEK BRANCH,Tama,County,County,1914,1994.0,196,2022,17,4.0,2010,16,Open,42.25918333333333,-92.36196388888888
161,11190.0,WEST 3RD STREET,DRAINAGE,Bremer,City / Municipal,City / Municipal,1954,0.0,195,2021,0,3.0,2010,16,Posted (load limit),42.84938888888889,-92.1039
162,136580.0,FM,SEVEN MILE CREEK,Decatur,County,County,1969,0.0,190,2022,0,4.0,2010,16,Open,40.60328055555556,-93.91990277777778
163,504675.0,RUSTIN ST,BACON CREEK,Woodbury,City / Municipal,City / Municipal,1900,0.0,188,2021,0,3.0,2010,16,Open,42.48999444444445,-96.37150555555554
164,163840.0,FM,DOWD CREEK  BRANCH,Grundy,County,County,1966,0.0,187,2022,18,4.0,2010,16,Open,42.25299444444445,-92.96267777777778
165,52570.0,236TH AVE,SILVER CREEK,Winneshiek,County,County,1928,0.0,187,2022,13,4.0,2010,16,Open,43.46141666666667,-91.86550833333332
166,10215.0,4TH ST,FLEENER CREEK,Poweshiek,City / Municipal,City / Municipal,1917,0.0,181,2022,0,3.0,2010,16,Posted (load limit),41.581358333333334,-92.70866666666667
167,233271.0,FM,DRAINAGE,Madison,County,County,1975,0.0,180,2022,0,4.0,2010,16,Posted (load limit),41.28183333333333,-94.06506944444445
168,500900.0,3RD AVE,INDIAN CREEK,Pottawattamie,City / Municipal,City / Municipal,1935,0.0,179,2022,0,4.0,2010,16,Open,41.25874722222222,-95.86481388888889
169,164890.0,FM,BLACKHAWK CREEK  BRANCH,Grundy,County,County,1956,0.0,177,2022,0,3.0,2010,16,Open,42.427252777777774,-92.74072222222222
170,164900.0,FM,BLACKHAWK CREEK  BRANCH,Grundy,County,County,1956,0.0,177,2022,0,3.0,2010,16,Open,42.427363888888884,-92.72553333333333
171,108970.0,LOCAL-KEELN RD.,BADGER CREEK,Cherokee,County,County,1917,0.0,170,2022,0,3.0,2010,16,Posted (restriction),42.766397222222224,-95.510875
